Best encoding Combination	Most Frequent C	Most Frequent Gamma	Average MCC	Standard Error MCC	Average Accuracy	Standard Error Accuracy	Average F1 Score	Standard Error F1 Score	Average Precision	Standard Error Precision	Average Recall	Standard Error Recall
AA	8	2	0.7731584795061487	0.00503387969605815	0.9558170056503819	0.0006788173227200079	0.9556683783067303	0.0007855582692601882	0.9557246503709607	0.0009221320195837242	0.9558170056503819	0.0006788173227200079
AA, HP	4	2	0.8116620700042843	0.009399814326102115	0.9631589401627269	0.0017197957401477873	0.9631076176576101	0.0017555614486690911	0.963256622077569	0.0018117306766169444	0.9631589401627269	0.0017197957401477873
AA, CH	8	2	0.770176877991988	0.008940751020612578	0.9558159639980872	0.0015646423694109428	0.9553726515179729	0.0016319424829249218	0.9551553853848844	0.0016725970437300862	0.9558159639980872	0.0015646423694109428
AA, AH	2	2	0.7705812497475658	0.010022269553038475	0.9556899424766877	0.0013029233858383401	0.9553247003352962	0.00163891177742004	0.9552770605159205	0.0018691527613556582	0.9556899424766877	0.0013029233858383401
AA, TM	4	2	0.8459656780190151	0.017027515645218382	0.9698681217894609	0.0029638044123207466	0.9698071317772076	0.0031271749547569423	0.97000582668872	0.0033018825001223623	0.9698681217894609	0.0029638044123207466
AA, HP, CH	8	1	0.8142090627053793	0.011314856620072858	0.963664868648954	0.0021489691820607967	0.9636258323818205	0.0021582421073870974	0.9637289547667172	0.0021848217189575953	0.963664868648954	0.0021489691820607967
AA, HP, AH	8	2	0.8049045643235561	0.00952217919945435	0.9618929569442966	0.0016485441471584975	0.9618142514434153	0.0017314834530050868	0.9619322773389518	0.0018429938456074524	0.9618929569442966	0.0016485441471584975
AA, HP, TM	8	2	0.8456958700535733	0.015225924782954574	0.9694886954156108	0.0027582955561201443	0.9696076395820625	0.0028341747550235264	0.9699184485273822	0.002980856550366592	0.9694886954156108	0.0027582955561201443
AA, CH, AH	8	2	0.7742950806627532	0.00963105699451306	0.9561957911010461	0.001699473126346978	0.9559989086436659	0.001767506178202532	0.9559005079497664	0.0018291916528296248	0.9561957911010461	0.001699473126346978
AA, CH, TM	4	2	0.8558907490540897	0.011122419000059943	0.971767497802569	0.0018885431989017984	0.971733058881307	0.001997469798250517	0.9719292594236807	0.002177194070633392	0.971767497802569	0.0018885431989017984
AA, AH, TM	8	2	0.8410740018142857	0.016085372901540974	0.9688557037556897	0.0027872527235838778	0.9688153792859057	0.002944560733003631	0.9690589142472501	0.003120424277263101	0.9688557037556897	0.0027872527235838778
AA, HP, CH, AH	8	1	0.8020720403997961	0.014099062794104186	0.9611325010773367	0.0025519852473424517	0.9611676606021107	0.002624546602272283	0.9613705941989922	0.0027245795061019086	0.9611325010773367	0.0025519852473424517
AA, HP, CH, TM	8	1	0.8574527205150231	0.009674564893853594	0.9720209829225357	0.0015722608951706572	0.972016399757508	0.0016883631188111489	0.9722255259597355	0.0019169867506603593	0.9720209829225357	0.0015722608951706572
AA, HP, AH, TM	8	2	0.8432063988992905	0.016266899574063166	0.9691085479524707	0.0029011717562332476	0.9691773295691659	0.003007893888881259	0.9694270511000888	0.0031815713144113956	0.9691085479524707	0.0029011717562332476
AA, CH, AH, TM	2	2	0.8520870878696971	0.014946683531870486	0.9711340252474348	0.00263466022641537	0.9710543341994257	0.002753261233573823	0.9711713494450158	0.0029100645523379327	0.9711340252474348	0.00263466022641537
AA, HP, CH, AH, TM	4	1	0.8499774124030661	0.013381421405675744	0.970501274085826	0.0024448342524945334	0.9705406619229923	0.002494086004878729	0.9707378684751932	0.002626657505025797	0.970501274085826	0.0024448342524945334
