Accession	Organism	Kingdom	Length	Cleavage	Type	Fold	Transmembrane
P55203	Bos taurus	Metazoa	1110	56.0	+	0	
Q27441	Aplysia californica	Metazoa	92	21.0	+	1	
P80915	Macadamia integrifolia	Viridiplantae	102	26.0	+	2	
P22362	Homo sapiens	Metazoa	96	23.0	+	3	
G9M8X1	Nephotettix cincticeps	Metazoa	687	19.0	+	4	
Q01638	Homo sapiens	Metazoa	556	18.0	+	0	
P29007	Bombina orientalis	Metazoa	155	31.0	+	1	
P10124	Homo sapiens	Metazoa	158	27.0	+	2	
Q9NQ34	Homo sapiens	Metazoa	198	33.0	+	3	
P51460	Homo sapiens	Metazoa	131	20.0	+	4	
Q8WMP9	Bos taurus	Metazoa	407	29.0	+	0	
Q02942	Blaberus discoidalis	Metazoa	726	16.0	+	1	
Q41161	Robinia pseudoacacia	Viridiplantae	285	31.0	+	2	
Q99944	Homo sapiens	Metazoa	293	25.0	+	3	
Q9BX74	Homo sapiens	Metazoa	207	37.0	+	4	
Q10NX8	Oryza sativa subsp. japonica	Viridiplantae	858	30.0	+	0	
Q59Y31	Candida albicans (strain SC5314 / ATCC MYA-2876)	Fungi	533	21.0	+	1	
Q27082	Tachypleus tridentatus	Metazoa	673	19.0	+	2	
Q23997	Drosophila melanogaster	Metazoa	452	18.0	+	3	
P49256	Canis lupus familiaris	Metazoa	356	44.0	+	4	
P01027	Mus musculus	Metazoa	1663	24.0	+	0	
P00719	Struthio camelus	Metazoa	204	19.0	+	1	
P19427	Bos taurus	Metazoa	201	18.0	+	2	
Q8S2W4	Arabidopsis thaliana	Viridiplantae	61	22.0	+	3	
Q6TPK4	Actinidia deliciosa	Viridiplantae	116	26.0	+	4	
Q62813	Rattus norvegicus	Metazoa	338	28.0	+	0	
Q05928	Mus musculus	Metazoa	177	31.0	+	1	
Q8T0W3	Pimpla hypochondriaca	Metazoa	63	25.0	+	2	
P0DMD3	Scolopendra mutilans	Metazoa	105	21.0	+	3	
Q8I817	Aplysia californica	Metazoa	88	19.0	+	4	
P52823	Homo sapiens	Metazoa	247	17.0	+	0	
Q8TCT8	Homo sapiens	Metazoa	520	25.0	+	1	
Q00802	Bombyx mori	Metazoa	256	17.0	+	2	
P05067	Homo sapiens	Metazoa	770	17.0	+	3	
P51868	Rattus norvegicus	Metazoa	413	19.0	+	4	
P81623	Bos taurus	Metazoa	258	29.0	+	0	
Q8X150	Gaeumannomyces tritici	Fungi	618	16.0	+	1	
Q8T0W1	Pimpla hypochondriaca	Metazoa	115	22.0	+	2	
P85213	Galleria mellonella	Metazoa	72	29.0	+	3	
Q1HAY7	Holotrichia diomphalia	Metazoa	317	23.0	+	4	
P13598	Homo sapiens	Metazoa	275	24.0	+	0	
Q94K85	Arabidopsis thaliana	Viridiplantae	359	26.0	+	1	
P80513	Bos taurus	Metazoa	179	21.0	+	2	
Q05895	Mus musculus	Metazoa	956	21.0	+	3	
P86872	Margaritifera margaritifera	Metazoa	260	19.0	+	4	
Q7ZZN8	Naja atra	Metazoa	238	19.0	+	0	
P19876	Homo sapiens	Metazoa	107	34.0	+	1	
Q7SCE9	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	385	18.0	+	2	
P42256	Aspergillus niger	Fungi	321	19.0	+	3	
C0HLA0	Chamaecyparis obtusa	Viridiplantae	556	28.0	+	4	
P16150	Homo sapiens	Metazoa	400	19.0	+	0	
Q9UAD0	Mesobuthus martensii	Metazoa	59	24.0	+	1	
P35053	Rattus norvegicus	Metazoa	558	23.0	+	2	
P13611	Homo sapiens	Metazoa	3396	20.0	+	3	
Q10ST8	Oryza sativa subsp. japonica	Viridiplantae	96	27.0	+	4	
P55955	Caenorhabditis elegans	Metazoa	132	19.0	+	0	
P29460	Homo sapiens	Metazoa	328	22.0	+	1	
D3Z9M3	Rattus norvegicus	Metazoa	109	16.0	+	2	
P67861	Daboia russelii	Metazoa	144	24.0	+	3	
Q6ZSA7	Homo sapiens	Metazoa	298	34.0	+	4	
P15226	Tityus serrulatus	Metazoa	84	20.0	+	0	
P82358	Acanthoscurria gomesiana	Metazoa	84	23.0	+	1	
P08833	Homo sapiens	Metazoa	259	25.0	+	2	
Q968Z6	Dictyostelium discoideum	Other	557	19.0	+	3	
Q29486	Felis catus	Metazoa	524	17.0	+	4	
P14630	Rattus norvegicus	Metazoa	190	17.0	+	0	
Q15399	Homo sapiens	Metazoa	786	24.0	+	1	
P02659	Gallus gallus	Metazoa	106	24.0	+	2	
P43174	Ambrosia psilostachya	Viridiplantae	77	22.0	+	3	
P28319	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	239	20.0	+	4	
B1P0S1	Pseudopleuronectes americanus	Metazoa	218	23.0	+	0	
Q96BY9	Homo sapiens	Metazoa	339	30.0	+	1	
P21978	Leishmania amazonensis	Other	476	32.0	+	2	
P51688	Homo sapiens	Metazoa	502	20.0	+	3	
O15455	Homo sapiens	Metazoa	904	23.0	+	4	
P49767	Homo sapiens	Metazoa	419	31.0	+	0	
Q9GSA4	Galleria mellonella	Metazoa	113	19.0	+	1	
P02743	Homo sapiens	Metazoa	223	19.0	+	2	
P36980	Homo sapiens	Metazoa	270	18.0	+	3	
Q4V4I9	Drosophila melanogaster	Metazoa	182	22.0	+	4	
P18892	Bos taurus	Metazoa	526	26.0	+	0	
P20160	Homo sapiens	Metazoa	251	19.0	+	1	
A0A7J6K7I9	Toxoplasma gondii	Other	553	64.0	+	2	
Q8NBM8	Homo sapiens	Metazoa	494	22.0	+	3	
Q12396	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	444	46.0	+	4	
P32803	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	203	20.0	+	0	
Q96LA5	Homo sapiens	Metazoa	508	19.0	+	1	
P01500	Apis mellifera	Metazoa	46	27.0	+	2	
P13725	Homo sapiens	Metazoa	252	25.0	+	3	
Q25589	Faxonius limosus	Metazoa	135	26.0	+	4	
P07141	Mus musculus	Metazoa	552	32.0	+	0	
F7J1C8	Flammulina velutipes	Fungi	249	21.0	+	1	
Q9NRC9	Homo sapiens	Metazoa	128	17.0	+	2	
Q9Z0K8	Mus musculus	Metazoa	512	23.0	+	3	
P33487	Arabidopsis thaliana	Viridiplantae	198	33.0	+	4	
O70280	Rattus norvegicus	Metazoa	212	26.0	+	0	
P81941	Pseudopleuronectes americanus	Metazoa	68	22.0	+	1	
P01350	Homo sapiens	Metazoa	101	21.0	+	2	
Q62598	Rattus norvegicus	Metazoa	687	17.0	+	3	
Q9H9K5	Homo sapiens	Metazoa	563	26.0	+	4	
Q59XX2	Candida albicans (strain SC5314 / ATCC MYA-2876)	Fungi	378	32.0	+	0	
Q3C258	Actinia equina	Metazoa	70	20.0	+	1	
Q8T1G4	Dictyostelium discoideum	Other	181	19.0	+	2	
A7L035	Chironex fleckeri	Metazoa	456	20.0	+	3	
Q14802	Homo sapiens	Metazoa	87	20.0	+	4	
P25236	Rattus norvegicus	Metazoa	385	19.0	+	0	
Q03405	Homo sapiens	Metazoa	335	22.0	+	1	
Q76CE8	Typhula ishikariensis	Fungi	243	20.0	+	2	
Q7M418	Oligobrachia mashikoi	Metazoa	163	16.0	+	3	
Q9UHF4	Homo sapiens	Metazoa	553	29.0	+	4	
Q5JNJ5	Oryza sativa subsp. japonica	Viridiplantae	237	28.0	+	0	
Q14210	Homo sapiens	Metazoa	128	20.0	+	1	
Q76FB0	Cyanidium caldarium	Other	155	20.0	+	2	
Q8NI17	Homo sapiens	Metazoa	732	19.0	+	3	
Q8TDQ1	Homo sapiens	Metazoa	290	19.0	+	4	
P10675	Schistocerca americana	Metazoa	662	24.0	+	0	
Q9D6Y1	Mus musculus	Metazoa	273	21.0	+	1	
P28825	Mus musculus	Metazoa	747	20.0	+	2	
P26202	Oryctolagus cuniculus	Metazoa	137	20.0	+	3	
Q5WPZ4	Lutzomyia longipalpis	Metazoa	115	22.0	+	4	
P13727	Homo sapiens	Metazoa	222	16.0	+	0	
Q5G8A6	Tityus costatus	Metazoa	87	19.0	+	1	
L8BRS3	Morus alba	Viridiplantae	209	18.0	+	2	
Q4WZ11	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293)	Fungi	87	19.0	+	3	
P19801	Homo sapiens	Metazoa	751	19.0	+	4	
Q63617	Rattus norvegicus	Metazoa	999	32.0	+	0	
P17948	Homo sapiens	Metazoa	1338	26.0	+	1	
P84843	Hybomitra bimaculata	Metazoa	76	20.0	+	2	
P31608	Sagittaria sagittifolia	Viridiplantae	181	24.0	+	3	
Q28989	Sus scrofa	Metazoa	421	26.0	+	4	
Q02596	Mus musculus	Metazoa	151	19.0	+	0	
Q8WWA0	Homo sapiens	Metazoa	313	18.0	+	1	
O43291	Homo sapiens	Metazoa	252	27.0	+	2	
O64392	Triticum aestivum	Viridiplantae	146	21.0	+	3	
Q62192	Mus musculus	Metazoa	661	20.0	+	4	
P80748	Homo sapiens	Metazoa	117	17.0	+	0	
E9NX73	Fagopyrum tataricum	Viridiplantae	149	22.0	+	1	
P07439	Megabalanus rosa	Metazoa	162	24.0	+	2	
C5P3X6	Coccidioides posadasii (strain C735)	Fungi	276	18.0	+	3	
P58912	Phyllodiscus semoni	Metazoa	488	21.0	+	4	
Q9Y4X3	Homo sapiens	Metazoa	112	24.0	+	0	
P13385	Homo sapiens	Metazoa	188	30.0	+	1	
Q9BX59	Homo sapiens	Metazoa	468	18.0	+	2	
Q43871	Hordeum vulgare	Viridiplantae	115	25.0	+	3	
Q5UCC4	Homo sapiens	Metazoa	262	25.0	+	4	
P10562	Canavalia gladiata	Viridiplantae	445	26.0	+	0	
Q64HC7	Armadillidium vulgare	Metazoa	73	19.0	+	1	
Q8MI35	Sus scrofa	Metazoa	152	32.0	+	2	
Q76BW5	Oryza sativa subsp. japonica	Viridiplantae	290	25.0	+	3	
P33559	Aspergillus kawachii (strain NBRC 4308)	Fungi	327	25.0	+	4	
P15570	Phytophthora cryptogea	Other	118	20.0	+	0	
Q13445	Homo sapiens	Metazoa	227	23.0	+	1	
Q70SU7	Salvelinus alpinus	Metazoa	342	19.0	+	2	
Q8I7X1	Porcellio scaber	Metazoa	145	21.0	+	3	
P83234	Ophiophagus hannah	Metazoa	190	20.0	+	4	
P21570	Mus musculus	Metazoa	145	24.0	+	0	
Q8T0W8	Gastrophysa atrocyanea	Metazoa	65	24.0	+	1	
P02810	Homo sapiens	Metazoa	166	16.0	+	2	
P16235	Rattus norvegicus	Metazoa	700	26.0	+	3	
P18657	Macaca fascicularis	Metazoa	83	26.0	+	4	
P01168	Sus scrofa	Metazoa	116	24.0	+	0	
Q8TAL6	Homo sapiens	Metazoa	211	18.0	+	1	
A0A1S3PBB7	Salmo salar	Metazoa	375	23.0	+	2	
O48818	Arabidopsis thaliana	Viridiplantae	257	20.0	+	3	
O01949	Aedes aegypti	Metazoa	273	19.0	+	4	
P24792	Cucurbita maxima	Viridiplantae	579	30.0	+	0	
Q8TD06	Homo sapiens	Metazoa	166	21.0	+	1	
P80392	Meleagris gallopavo	Metazoa	64	28.0	+	2	
O14773	Homo sapiens	Metazoa	563	19.0	+	3	
Q96AP7	Homo sapiens	Metazoa	390	29.0	+	4	
Q6UW56	Homo sapiens	Metazoa	229	30.0	+	0	
P08796	Dictyostelium discoideum	Other	514	19.0	+	1	
P18181	Mus musculus	Metazoa	240	22.0	+	2	
O61668	Mesobuthus martensii	Metazoa	88	18.0	+	3	
Q8N4F0	Homo sapiens	Metazoa	458	20.0	+	4	
C0H9B6	Salmo salar	Metazoa	413	19.0	+	0	
P53366	Sus scrofa	Metazoa	188	21.0	+	1	
Q61508	Mus musculus	Metazoa	559	19.0	+	2	
P98066	Homo sapiens	Metazoa	277	17.0	+	3	
G5EC68	Caenorhabditis elegans	Metazoa	85	17.0	+	4	
A0A0F7YYX3	Conus victoriae	Metazoa	196	25.0	+	0	
C0HKM3	Conus purpurascens	Metazoa	458	18.0	+	1	
P0C1B3	Aspergillus oryzae (strain ATCC 42149 / RIB 40)	Fungi	499	21.0	+	2	
D3GDK4	Cryptopygus antarcticus	Metazoa	225	15.0	+	3	
Q6IV20	Gallus gallus	Metazoa	104	22.0	+	4	
H6U1I8	Tanacetum cinerariifolium	Viridiplantae	365	27.0	+	0	
P12872	Homo sapiens	Metazoa	115	25.0	+	1	
O62605	Galleria mellonella	Metazoa	218	16.0	+	2	
