Accession	Organism	Kingdom	Length	Transmembrane	Type	Fold
P39013	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	349	False	-	0
Q06629	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	674	False	-	1
Q9FNH6	Arabidopsis thaliana	Viridiplantae	231	True	-	2
P48382	Homo sapiens	Metazoa	616	False	-	3
Q5JVS0	Homo sapiens	Metazoa	413	False	-	4
O13801	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	604	False	-	0
Q9Y6W5	Homo sapiens	Metazoa	498	False	-	1
P31385	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	405	False	-	2
Q09685	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	411	False	-	3
Q04231	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	177	False	-	4
Q61234	Mus musculus	Metazoa	503	False	-	0
P62244	Homo sapiens	Metazoa	130	False	-	1
P06652	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	596	False	-	2
Q5XVF0	Arabidopsis thaliana	Viridiplantae	666	False	-	3
Q08492	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	214	False	-	4
Q9SS80	Arabidopsis thaliana	Viridiplantae	685	False	-	0
Q9Y4L5	Homo sapiens	Metazoa	304	False	-	1
Q8N5I2	Homo sapiens	Metazoa	433	False	-	2
O61016	Crithidia fasciculata	Other	151	False	-	3
Q02959	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	697	False	-	4
Q9SL95	Arabidopsis thaliana	Viridiplantae	456	True	-	0
Q76KJ5	Mus musculus	Metazoa	399	False	-	1
Q13888	Homo sapiens	Metazoa	395	False	-	2
Q03862	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	593	False	-	3
P87017	Aspergillus parasiticus (strain ATCC 56775 / NRRL 5862 / SRRC 143 / SU-1)	Fungi	278	False	-	4
Q03018	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1630	False	-	0
O97965	Ovis aries	Metazoa	110	False	-	1
Q01543	Homo sapiens	Metazoa	452	False	-	2
Q9NXE8	Homo sapiens	Metazoa	425	False	-	3
Q17602	Caenorhabditis elegans	Metazoa	1390	False	-	4
Q9M7N6	Solanum lycopersicum	Viridiplantae	152	False	-	0
Q64267	Mus musculus	Metazoa	272	False	-	1
Q6IQ55	Homo sapiens	Metazoa	1244	False	-	2
Q12406	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	477	False	-	3
Q94C32	Arabidopsis thaliana	Viridiplantae	320	False	-	4
D3ZAW2	Rattus norvegicus	Metazoa	406	True	-	0
Q02775	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	382	False	-	1
Q69YH5	Homo sapiens	Metazoa	1023	False	-	2
Q8S9M1	Arabidopsis thaliana	Viridiplantae	299	False	-	3
Q9H0H0	Homo sapiens	Metazoa	1204	False	-	4
Q8JZL0	Mus musculus	Metazoa	594	False	-	0
P53991	Chlamydomonas reinhardtii	Viridiplantae	354	False	-	1
E9Q6W4	Mus musculus	Metazoa	445	False	-	2
Q9ZWA1	Arabidopsis thaliana	Viridiplantae	393	False	-	3
P40458	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	529	False	-	4
Q96QF0	Homo sapiens	Metazoa	476	False	-	0
Q9VH07	Drosophila melanogaster	Metazoa	456	False	-	1
Q8IW03	Homo sapiens	Metazoa	269	False	-	2
A0A2R6X6S3	Marchantia polymorpha	Viridiplantae	911	False	-	3
Q8WXD5	Homo sapiens	Metazoa	167	False	-	4
P56287	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	678	False	-	0
P21827	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	482	False	-	1
P46309	Arabidopsis thaliana	Viridiplantae	522	False	-	2
O74374	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	554	False	-	3
P0CY15	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	42	False	-	4
Q6NKS4	Arabidopsis thaliana	Viridiplantae	258	False	-	0
Q8CJ27	Mus musculus	Metazoa	3122	False	-	1
O95278	Homo sapiens	Metazoa	331	False	-	2
Q5TA50	Homo sapiens	Metazoa	214	False	-	3
Q8C6L5	Mus musculus	Metazoa	507	False	-	4
Q05024	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	226	False	-	0
Q7Z4G1	Homo sapiens	Metazoa	85	False	-	1
Q3KRA9	Homo sapiens	Metazoa	238	False	-	2
O14338	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	891	False	-	3
Q8WXW3	Homo sapiens	Metazoa	757	False	-	4
Q99598	Homo sapiens	Metazoa	290	False	-	0
P87174	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	210	False	-	1
Q680B9	Arabidopsis thaliana	Viridiplantae	528	False	-	2
H2KYH4	Caenorhabditis elegans	Metazoa	392	False	-	3
Q7TPF1	Rattus norvegicus	Metazoa	97	True	-	4
O88339	Rattus norvegicus	Metazoa	575	False	-	0
Q8TBZ0	Homo sapiens	Metazoa	833	False	-	1
A2AIV2	Mus musculus	Metazoa	1811	False	-	2
O95466	Homo sapiens	Metazoa	1100	False	-	3
Q80ZG1	Rattus norvegicus	Metazoa	529	False	-	4
Q9USG8	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1188	False	-	0
Q86VE9	Homo sapiens	Metazoa	423	True	-	1
Q96WW3	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	117	False	-	2
Q78ZR5	Rattus norvegicus	Metazoa	73	False	-	3
Q9BSH3	Homo sapiens	Metazoa	213	False	-	4
Q04779	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	684	False	-	0
Q9NRZ7	Homo sapiens	Metazoa	376	False	-	1
Q9SN22	Arabidopsis thaliana	Viridiplantae	410	False	-	2
Q9UTQ7	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	523	False	-	3
Q9Y2Z4	Homo sapiens	Metazoa	477	False	-	4
P31949	Homo sapiens	Metazoa	105	False	-	0
Q93654	Caenorhabditis elegans	Metazoa	245	False	-	1
Q14116	Homo sapiens	Metazoa	193	False	-	2
Q06554	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1556	False	-	3
O42709	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	593	False	-	4
P20000	Bos taurus	Metazoa	520	False	-	0
Q00202	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)	Fungi	678	False	-	1
P32855	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1065	False	-	2
O77480	Bos taurus	Metazoa	390	False	-	3
Q9C7S0	Arabidopsis thaliana	Viridiplantae	295	False	-	4
Q8RWL4	Arabidopsis thaliana	Viridiplantae	349	False	-	0
Q8WUF5	Homo sapiens	Metazoa	828	False	-	1
Q9C950	Arabidopsis thaliana	Viridiplantae	643	False	-	2
Q10271	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	321	False	-	3
O02326	Caenorhabditis elegans	Metazoa	467	False	-	4
Q9C0U3	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	109	False	-	0
O44997	Caenorhabditis elegans	Metazoa	1425	False	-	1
F4I3V6	Arabidopsis thaliana	Viridiplantae	192	False	-	2
O14310	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	933	False	-	3
Q9FJY5	Arabidopsis thaliana	Viridiplantae	524	False	-	4
Q08119	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	714	False	-	0
P40548	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	159	True	-	1
Q61823	Mus musculus	Metazoa	469	False	-	2
Q6R3K9	Arabidopsis thaliana	Viridiplantae	664	True	-	3
P19263	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1082	False	-	4
Q12062	Aspergillus parasiticus (strain ATCC 56775 / NRRL 5862 / SRRC 143 / SU-1)	Fungi	643	False	-	0
P25846	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	959	False	-	1
Q6B860	Bos taurus	Metazoa	128	False	-	2
Q06604	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	576	False	-	3
Q9UDW3	Homo sapiens	Metazoa	170	False	-	4
Q5DT39	Rattus norvegicus	Metazoa	243	True	-	0
Q01593	Arabidopsis thaliana	Viridiplantae	720	False	-	1
Q9NZ81	Homo sapiens	Metazoa	148	False	-	2
Q9HCU8	Homo sapiens	Metazoa	107	False	-	3
Q96RN5	Homo sapiens	Metazoa	788	False	-	4
Q12476	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	344	False	-	0
Q9BZJ7	Homo sapiens	Metazoa	368	True	-	1
Q07065	Homo sapiens	Metazoa	602	False	-	2
P82403	Spinacia oleracea	Viridiplantae	211	False	-	3
Q9P7L2	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	425	False	-	4
Q9ZS51	Arabidopsis thaliana	Viridiplantae	190	True	-	0
